id,user,deci,sex,age,kno1,kno2,kno3,kno4,kno5,kno6,kno7,kno8,inno,att1,att2,att3,att4,att5,att6,att7,att8,interest,re_att1,re_att2,re_att3,re_att4,re_att5,re_att6,re_att7,re_att8,re_kno1,re_kno2,re_kno3,re_kno4,re_kno5,re_kno6,re_kno7,re_kno8,attitude,knowledge
255,regular residence,2,female,30,2,3,3,3,3,2,2,2,early majority,2,5,3,3,2,2,3,3,probably will,1,4,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1.875,1.5
257,regular residence,2,female,36,1,1,1,1,1,1,1,1,early majority,4,4,4,4,4,4,4,4,definitely not,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,0
258,regular residence,2,female,31,1,1,1,1,1,1,1,1,innovators,2,3,3,2,3,3,5,1,probably will,1,2,2,1,2,2,4,0,0,0,0,0,0,0,0,0,1.75,0
259,regular residence,2,female,55,1,1,1,1,3,1,1,1,late majority,2,4,3,3,4,5,5,5,probably not,1,3,2,2,3,4,4,4,0,0,0,0,2,0,0,0,2.875,0.25
260,regular residence,2,male,58,2,1,1,1,2,1,1,1,innovators,3,4,4,4,5,5,4,4,likely to,2,3,3,3,4,4,3,3,1,0,0,0,1,0,0,0,3.125,0.25
261,small residence,2,male,25,5,5,4,4,5,4,5,4,early majority,4,4,3,3,4,3,5,5,probably will,3,3,2,2,3,2,4,4,4,4,3,3,4,3,4,3,2.875,3.5
262,regular residence,2,male,46,2,1,1,1,1,1,1,1,early majority,2,2,2,2,4,2,4,4,probably will,1,1,1,1,3,1,3,3,1,0,0,0,0,0,0,0,1.75,0.125
263,regular residence,2,male,35,1,1,1,1,1,1,2,1,late majority,3,3,4,5,5,5,4,4,probably not,2,2,3,4,4,4,3,3,0,0,0,0,0,0,1,0,3.125,0.125
265,small residence,2,female,31,1,1,1,1,1,1,1,1,early majority,3,5,5,4,4,4,5,3,probably will,2,4,4,3,3,3,4,2,0,0,0,0,0,0,0,0,3.125,0
266,regular residence,2,female,27,1,1,1,1,1,1,1,1,innovators,4,4,4,2,4,4,4,4,probably will,3,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,2.75,0
